k5_pace_minkm,k10_pace_minkm,mh_pace_minkm,has_k5_data,has_k10_data,slowdown_10k_to_hm,slowdown_5k_to_hm,sex_M,sex_F,age_input,age_squared,bmi_input,endurancecat_input,typical_km_week,max_km_week,training_volume_ratio,has_sprint,has_tempo,injury_history,footwear_type,k5_pace_squared,k10_pace_squared,mh_pace_squared,mh_pace_cubed,sex_pace_interaction,age_pace_interaction,bmi_pace_interaction,training_pace_interaction,endurance_pace_interaction,age_bmi_interaction
4.033333333333333,,4.882095034956748,1,0,,1.2104367855264666,1,0,43.0,1849.0,25.95398712158203,2,40.0,65.0,1.625,0,0,0,2,16.267777777777777,,23.834851930349334,116.36401226808775,4.882095034956748,209.93008650314016,126.70983166360702,195.28380139826993,9.764190069913496,1116.0214462280273
5.55,,6.1500177746178455,1,0,,1.1081113107419542,0,1,36.0,1296.0,23.820974349975586,2,30.0,40.0,1.3333333333333333,0,0,0,2,30.8025,,37.82271862811544,232.61039184727943,0.0,221.40063988624243,146.49941566106563,184.50053323853535,12.300035549235691,857.5550765991211
,4.621666666666667,5.103290279258996,0,1,1.104209941419184,,0,1,39.0,1521.0,21.661930084228516,2,35.0,50.0,1.4285714285714286,0,0,0,2,,21.35980277777778,26.043571674379358,132.9079061630451,0.0,199.02832089110083,110.54711722883138,178.61515977406486,10.206580558517992,844.8152732849121
,,4.363076193861832,0,0,,,0,1,31.0,961.0,23.302413940429688,1,38.0,50.0,1.3157894736842106,1,0,1,2,,,19.03643387344385,83.05741144924784,0.0,135.25536200971678,101.67020752300286,165.79689536674962,4.363076193861832,722.3748321533203
,,4.4555042066595565,0,0,,,0,1,30.0,900.0,24.187450408935547,2,55.0,65.0,1.1818181818181819,1,0,0,2,,,19.851517735561004,88.44852077936885,0.0,133.6651261997867,107.76728704538174,245.0527313662756,8.911008413319113,725.6235122680664
4.176666666666667,,4.2303590472804835,1,0,,1.0128553185827176,1,0,33.0,1089.0,25.82033348083496,2,35.0,35.0,1.0,0,0,0,2,17.444544444444446,,17.89593766890784,75.70624182723189,4.2303590472804835,139.60184856025595,109.22928134444936,148.06256665481692,8.460718094560967,852.0710048675537
3.293333333333333,,3.483825097760398,1,0,,1.0578416288746149,1,0,34.0,1156.0,22.518295288085938,3,65.0,85.0,1.3076923076923077,1,1,0,2,10.846044444444443,,12.137037311785246,42.28331519925183,3.483825097760398,118.45005332385352,78.4498022834135,226.44863135442586,10.451475293281193,765.6220397949219
,,4.542402338349725,0,0,,,1,0,32.0,1024.0,24.968456268310547,2,45.0,50.0,1.1111111111111112,1,1,1,2,,,20.633419003445052,93.72529072939845,4.542402338349725,145.3568748271912,113.41677413815668,204.40810522573764,9.08480467669945,798.9906005859375
,4.761666666666667,4.990322708061776,0,1,1.0480201697014582,,1,0,54.0,2916.0,25.968873977661133,3,20.0,33.0,1.65,1,1,0,2,,22.673469444444446,24.90332073059702,124.27560694804389,4.990322708061776,269.47742623533594,129.5930615135169,99.80645416123552,14.97096812418533,1402.3191947937012
,,4.12450132322155,0,0,,,1,0,23.0,529.0,21.405187606811523,1,44.0,60.0,1.3636363636363635,1,1,0,2,,,17.01151116525632,70.16400031109787,4.12450132322155,94.86353043409567,88.28572460809966,181.47805822174823,4.12450132322155,492.31931495666504
