Feature,Coefficient
has_k5_data,0.004958564659635447
age_input,-0.003436075879237904
mh_pace_squared,-0.0033540932226317705
has_sprint,-0.0032339644329839315
footwear_type,0.002790295726708121
k5_pace_squared,0.0017845772717154534
sex_pace_interaction,0.001660006897000501
has_tempo,-0.0015763000432193466
injury_history,0.0013864334661785195
has_k10_data,-0.0013557139706022751
endurancecat_input,0.0010239297461494806
k10_pace_squared,0.0009800574536446866
bmi_pace_interaction,0.0008197424451946688
age_pace_interaction,0.0008040331062159334
bmi_input,-0.0007182265997602999
mh_pace_minkm,-0.000649925297642864
sex_F,-0.0006490844363183173
sex_M,0.0006490844363183154
k10_pace_minkm,0.0006184201033852698
typical_km_week,0.0005345051016277105
endurance_pace_interaction,-0.00043774676369586114
training_volume_ratio,-0.0004335758451259764
slowdown_5k_to_hm,-0.000418310136475559
training_pace_interaction,-0.00029534140903013324
k5_pace_minkm,-0.00025274665185961857
slowdown_10k_to_hm,-0.0002152795747073974
mh_pace_cubed,-0.0001289159273072216
max_km_week,-3.989244267925854e-05
age_bmi_interaction,-2.82162767306713e-05
age_squared,1.3342984523128715e-06
